"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22002","TC13 - Verify Feedback Section","","Mon Aug 25 15:08:06 IST 2025","passed","Mon Aug 25 15:08:28 IST 2025","","Dashboard Page Tests - POM","",""
"","17867","TC11 - Verify Exam History Section","","Mon Aug 25 14:49:45 IST 2025","failed","Mon Aug 25 14:50:02 IST 2025","","Dashboard Page Tests - POM","",""
"","2012","TC06 - Verify Fees Status","","Mon Aug 25 15:10:15 IST 2025","passed","Mon Aug 25 15:10:17 IST 2025","","Dashboard Page Tests - POM","",""
"","2087","TC07 - Verify Mentor Information","","Mon Aug 25 15:10:17 IST 2025","passed","Mon Aug 25 15:10:19 IST 2025","","Dashboard Page Tests - POM","",""
"","3279","TC18 - Verify Multiple Sidebar Clicks Don’t Break","","Mon Aug 25 14:34:15 IST 2025","passed","Mon Aug 25 14:34:18 IST 2025","","Dashboard Page Tests - POM","",""
"","4712","TC22 - Verify Student USN Displayed","","Mon Aug 25 15:09:17 IST 2025","passed","Mon Aug 25 15:09:22 IST 2025","","Dashboard Page Tests - POM","",""
"","2528","TC05 - Verify Logout Functionality","","Mon Aug 25 15:10:12 IST 2025","passed","Mon Aug 25 15:10:15 IST 2025","","Dashboard Page Tests - POM","",""
"","8563","TC20 - Verify Session Timeout (Simulated)","","Mon Aug 25 15:09:05 IST 2025","passed","Mon Aug 25 15:09:13 IST 2025","","Dashboard Page Tests - POM","",""
"","2799","TC23 - Verify Dashboard Tables Load","","Mon Aug 25 15:09:22 IST 2025","passed","Mon Aug 25 15:09:25 IST 2025","","Dashboard Page Tests - POM","",""
"","2014","TC02 - Verify Student Name is displayed","","Mon Aug 25 15:10:06 IST 2025","passed","Mon Aug 25 15:10:08 IST 2025","","Dashboard Page Tests - POM","",""
"","1906","TC24 - Verify Contact/Support Link","","Mon Aug 25 15:09:25 IST 2025","passed","Mon Aug 25 15:09:27 IST 2025","","Dashboard Page Tests - POM","",""
"","2175","TC25 - Verify Logout Redirects to Login Page","","Mon Aug 25 15:09:27 IST 2025","passed","Mon Aug 25 15:09:29 IST 2025","","Dashboard Page Tests - POM","",""
"","5187","TC16 - Verify Invalid Page URL Redirects","","Mon Aug 25 15:08:47 IST 2025","passed","Mon Aug 25 15:08:52 IST 2025","","Dashboard Page Tests - POM","",""
"","66239","TC10 - Verify Time Table is clickable","","Mon Aug 25 15:10:24 IST 2025","broken","Mon Aug 25 15:11:30 IST 2025","","Dashboard Page Tests - POM","",""
"","5557","TC19 - Direct access redirects to login","","Mon Aug 25 15:08:59 IST 2025","passed","Mon Aug 25 15:09:04 IST 2025","","Dashboard Page Tests - POM","",""
"","2325","TC01 - Verify Dashboard page loads successfully","","Mon Aug 25 15:10:03 IST 2025","passed","Mon Aug 25 15:10:06 IST 2025","","Dashboard Page Tests - POM","",""
"","4031","TC21 - Verify Page Title","","Mon Aug 25 15:09:13 IST 2025","passed","Mon Aug 25 15:09:17 IST 2025","","Dashboard Page Tests - POM","",""
"","2055","TC03 - Verify Sidebar Navigation","","Mon Aug 25 15:10:08 IST 2025","passed","Mon Aug 25 15:10:10 IST 2025","","Dashboard Page Tests - POM","",""
"","2019","TC08 - Verify Attendance Table is displayed","","Mon Aug 25 15:10:19 IST 2025","passed","Mon Aug 25 15:10:21 IST 2025","","Dashboard Page Tests - POM","",""
"","6150","TC17 - Verify Browser Refresh Keeps Session","","Mon Aug 25 15:08:53 IST 2025","passed","Mon Aug 25 15:08:59 IST 2025","","Dashboard Page Tests - POM","",""
"","2931","TC12 - Verify Placement Section","","Mon Aug 25 14:50:03 IST 2025","passed","Mon Aug 25 14:50:06 IST 2025","","Dashboard Page Tests - POM","",""
"","12985","TC14 - Verify Backlog Registration Section","","Mon Aug 25 15:08:29 IST 2025","passed","Mon Aug 25 15:08:42 IST 2025","","Dashboard Page Tests - POM","",""
"","1974","TC04 - Verify Credits Earned","","Mon Aug 25 15:10:10 IST 2025","passed","Mon Aug 25 15:10:12 IST 2025","","Dashboard Page Tests - POM","",""
"","2358","TC09 - Verify Calendar of Events is clickable","","Mon Aug 25 15:10:21 IST 2025","passed","Mon Aug 25 15:10:24 IST 2025","","Dashboard Page Tests - POM","",""
"","5259","TC15 - Verify Other Links Section","","Mon Aug 25 15:08:42 IST 2025","passed","Mon Aug 25 15:08:47 IST 2025","","Dashboard Page Tests - POM","",""
