"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Valid Login - Correct USN + DOB","webkit","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Login Page Tests","login.spec.js","",""
"","0","Invalid Login - Only USN filled","webkit","Thu Aug 28 23:58:19 IST 2025","skipped","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
"","0","TC05 - Verify Logout Functionality","firefox","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","1","TC05 - Verify Logout Functionality","chromium","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","1","TC03 - Verify Sidebar Navigation","webkit","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","1","Invalid Login - Only DOB filled","webkit","Thu Aug 28 23:58:19 IST 2025","skipped","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
"","0","Invalid Login - Wrong DOB","webkit","Thu Aug 28 23:48:34 IST 2025","skipped","Thu Aug 28 23:48:34 IST 2025","Login Page Tests","login.spec.js","",""
"","0","TC05 - Verify Logout Functionality","webkit","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","8511","Valid Login - Correct USN + DOB (case-insensitive)","firefox","Fri Aug 29 00:00:02 IST 2025","passed","Fri Aug 29 00:00:10 IST 2025","Login Page Tests","login.spec.js","",""
"","0","Invalid Login - Wrong USN with attempt countdown","webkit","Thu Aug 28 23:58:19 IST 2025","skipped","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
"","9157","TC01 - Verify Dashboard page loads successfully","firefox","Thu Aug 28 23:33:44 IST 2025","passed","Thu Aug 28 23:33:54 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","0","TC02 - Verify Student Name is displayed","webkit","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","7007","Invalid Login - Only USN filled","chromium","Thu Aug 28 23:59:37 IST 2025","passed","Thu Aug 28 23:59:44 IST 2025","Login Page Tests","login.spec.js","",""
"","9032","Invalid Login - Special characters in USN","chromium","Thu Aug 28 23:59:51 IST 2025","passed","Fri Aug 29 00:00:00 IST 2025","Login Page Tests","login.spec.js","",""
"","8305","Invalid Login - Wrong USN with attempt countdown","firefox","Fri Aug 29 00:00:32 IST 2025","failed","Fri Aug 29 00:00:40 IST 2025","Login Page Tests","login.spec.js","",""
"","8259","Invalid Login - Wrong DOB","chromium","Thu Aug 28 23:58:58 IST 2025","passed","Thu Aug 28 23:59:06 IST 2025","Login Page Tests","login.spec.js","",""
"","26373","Valid Login - Correct USN + DOB (case-insensitive)","chromium","Thu Aug 28 23:58:24 IST 2025","passed","Thu Aug 28 23:58:50 IST 2025","Login Page Tests","login.spec.js","",""
"","13076","Invalid Login - Wrong DOB with dynamic attempts","chromium","Thu Aug 28 23:59:16 IST 2025","passed","Thu Aug 28 23:59:29 IST 2025","Login Page Tests","login.spec.js","",""
"","1","Valid Login - Correct USN + DOB (case-insensitive)","webkit","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Login Page Tests","login.spec.js","",""
"","1","TC04 - Verify Credits Earned","webkit","Thu Aug 28 23:44:32 IST 2025","skipped","Thu Aug 28 23:44:32 IST 2025","Dashboard Page Tests - POM","dashboard.spec.js","",""
"","0","Invalid Login - Only DOB filled","firefox","Thu Aug 28 23:58:19 IST 2025","skipped","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
"","1","Invalid Login - Leading/Trailing spaces in USN","webkit","Thu Aug 28 23:48:34 IST 2025","skipped","Thu Aug 28 23:48:34 IST 2025","Login Page Tests","login.spec.js","",""
"","0","Invalid Login - Only USN filled","firefox","Thu Aug 28 23:58:19 IST 2025","skipped","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
"","7362","Invalid Login - Empty fields","chromium","Thu Aug 28 23:59:29 IST 2025","passed","Thu Aug 28 23:59:37 IST 2025","Login Page Tests","login.spec.js","",""
"","9665","Invalid Login - Wrong DOB","firefox","Fri Aug 29 00:00:22 IST 2025","passed","Fri Aug 29 00:00:32 IST 2025","Login Page Tests","login.spec.js","",""
"","0","Invalid Login - Empty fields","webkit","Thu Aug 28 23:58:19 IST 2025","skipped","Thu Aug 28 23:58:19 IST 2025","Login Page Tests","login.spec.js","",""
